ADCY7
ATG16L1
CARD9
CD6
ERAP2
FCGR2A
FUT2
ICAM1
IFIH1
IL10
IL18RAP
IL23R
IL2RA
ITGA4
ITGAL
ITGB8
MST1
NOD2
NXPE1
PLCG2
PTPN22
SLAMF8
SMAD3
SP140
TNFSF8
TYK2
